Id	StartTime	EndTime	Source
28	0	0	feature-window:BiancaTheatre:permanent-mode; official Punishing Gray Raven announcement 2023-09-20 https://www.youtube.com/watch?v=a8O7YqA4FLQ; EN share/biancatheatre/BiancaTheatreActivity.json Id=2 TimeId=28
201	0	0	SimulateTrain:permanent-practice
716	1787115600	1787806740	version-history:EN-LIVE:4.6.6@bb3c34765c9d9c1c542079d536a17e82b27f3245/TransfiniteActivity+EN-LIVE:4.5.6@69465ac7168a8f33f517f2ffd6e366aa9f3c3357/TransfiniteActivity+LoginNotice:EndTime+GameNotice:update-note-EndTime+maintenance-duration+CycleSeconds
717	1787806800	1789016340	version-history:EN-LIVE:4.6.6@bb3c34765c9d9c1c542079d536a17e82b27f3245/TransfiniteActivity+EN-LIVE:4.5.6@69465ac7168a8f33f517f2ffd6e366aa9f3c3357/TransfiniteActivity+LoginNotice:EndTime+GameNotice:update-note-EndTime+maintenance-duration+CycleSeconds
13101	0	0	feature-window:ArcadeAnima:permanent-mode; EN share/fuben/charactertower/CharacterTower.json Id=1001 OpenTimeId=13101; unbounded availability policy, no promotional window authored
13102	0	0	feature-window:ArcadeAnima:permanent-mode; EN share/fuben/charactertower/CharacterTower.json Id=1002 OpenTimeId=13102; unbounded availability policy, no promotional window authored
15101	0	0	feature-window:ArcadeAnima:permanent-mode; EN share/fuben/charactertower/CharacterTower.json Id=1003 OpenTimeId=15101; unbounded availability policy, no promotional window authored
17101	0	0	feature-window:ArcadeAnima:permanent-mode; EN share/fuben/charactertower/CharacterTower.json Id=1004 OpenTimeId=17101; unbounded availability policy, no promotional window authored
20401	0	0	feature-window:ArcadeAnima:permanent-mode; EN share/fuben/charactertower/CharacterTower.json Id=1005 OpenTimeId=20401; unbounded availability policy, no promotional window authored
34301	0	0	feature-window:ArcadeAnima:permanent-mode; EN share/fuben/charactertower/CharacterTower.json Id=1006 OpenTimeId=34301; unbounded availability policy, no promotional window authored
47121	1780376400	1784178000	feature-window:Theatre6Reward:TaskTimeLimitId=708+TaskTimeLimit+Task+Reward+RewardGoods+Item:97087; AscNet policy: a timed mission window follows its authored reward-token lifetime where no server calendar exists
48032	1787115600	1790226000	version-history:EN-LIVE:4.6.6@bb3c34765c9d9c1c542079d536a17e82b27f3245/DrawCanLiverActivity+EN-LIVE:4.5.6@0236666432b01e5469a51047f4b112068fff8763/DrawCanLiverActivity+LoginNotice:EndTime+GameNotice:update-note-EndTime+maintenance-duration
48601	1784264400	1790139600	feature-window:Theatre6PvpActivity+Theatre6ClientConfig+Item:97090
48602	1784264400	1790139600	feature-window:Theatre6PvpActivity+Theatre6ClientConfig+Item:97090+Theatre6PvpRank:first-positive-TimeId
48801	1787115600	1788411600	GameNotice:update-note-html:4a7a5308f1b4a1288a8994c8.html+ConcertPreHeatingActivity
48820	1787115600	1790204400	GameNotice:4a7a5308f1b4a1288a8994d4
49101	1787220000	1789362000	GameNotice:4a7a5308f1b4a1288a8994d3
49102	1787097600	1790204400	EventCatalog.ShowBeginTime+GameNotice:update-note
49103	1787097600	1790204400	EventCatalog.ShowBeginTime+GameNotice:update-note
49104	1787097600	1790204400	EventCatalog.ShowBeginTime+GameNotice:update-note
49105	1787097600	1790204400	EventCatalog.ShowBeginTime+GameNotice:update-note
49110	1787115600	1790204400	GameNotice:update-note-html:4a7a5308f1b4a1288a8994c8.html+SignIn:Id=115
49111	1787097600	1790204400	EventCatalog.ShowBeginTime+GameNotice:update-note
49201	1787115600	1790204400	GameNotice:4a7a5308f1b4a1288a8994d6
49303	1787097600	1790204400	EventCatalog.ShowBeginTime+GameNotice:update-note
49304	1787097600	1790204400	EventCatalog.ShowBeginTime+GameNotice:update-note
49305	1787115600	1790204400	feature-window:FubenClientConfig.MainPanelTimeId:EN-LIVE:4.7.3@757e1f7dc7f5b910d875801bc9c38f01ada6fd80+SpecialActivity
49401	1787115600	1790226000	client/activitybrief/ActivityBrief+LoginNotice:EndTime+GameNotice:update-note-EndTime+maintenance-duration+ActivityBriefGroup:RefreshActivityMainLine2
49402	1787115600	1790204400	GameNotice:4a7a5308f1b4a1288a8994c9
49601	1788429600	1790139600	GameNotice:4a7a5308f1b4a1288a8994d2
49701	1787115600	1790204400	GameNotice:4a7a5308f1b4a1288a8994c9
49702	1787097600	1790204400	EventCatalog.ShowBeginTime+GameNotice:update-note
49704	1787097600	1790204400	EventCatalog.ShowBeginTime+GameNotice:update-note
49901	1787115600	1790226000	client/activitybrief/ActivityBrief+LoginNotice:EndTime+GameNotice:update-note-EndTime+maintenance-duration
49904	1787097600	1790204400	EventCatalog.ShowBeginTime+GameNotice:update-note
49920	1787115600	1790204400	GameNotice:4a7a5308f1b4a1288a8994d1
49924	1787115600	1790204400	GameNotice:4a7a5308f1b4a1288a8994d5
49925	1787097600	1790204400	EventCatalog.ShowBeginTime+GameNotice:update-note
49928	1787115600	1790204400	feature-window:SpecialActivity:SkipId=89106+GameNotice:4a7a5308f1b4a1288a8994d4
49929	1787115600	1790204400	feature-window:SpecialActivity:SkipId=89113+GameNotice:4a7a5308f1b4a1288a8994d6
49930	1787220000	1789362000	feature-window:SpecialActivity:SkipId=11724+GameNotice:4a7a5308f1b4a1288a8994d3
49931	1788429600	1790139600	feature-window:SpecialActivity:SkipId=89093+GameNotice:4a7a5308f1b4a1288a8994d2
49934	1784264400	1790139600	feature-window:SpecialActivity:SkipId=89102+feature-window:Theatre6PvpActivity+Theatre6ClientConfig+Item:97090
