Id	Name	Icon	AttrTypes[1]	AttrTypes[2]	AttrTypes[3]	AttrTypes[4]	AttrNums[1]	AttrNums[2]	AttrNums[3]	AttrNums[4]	BuildTags[1]	BuildTags[2]	Quality	BuyPrice	Priority	Desc	ShortDesc	BuffIds[1]	DescParams[1]	DescParams[2]	DescParams[3]	DescParams[4]	SaveScore	LimitCount	KeyWordIds[1]	KeyWordIds[2]	Character	PlotDesc	IsHide	IsOutPool	IsOutWiki
1	Frenzied Shard I	Assets/Product/Texture/Image/IconTools/IconActivityConsume2008002.png	2	4			150	25			23		1	10	1														0	0	0
2	Meteorite Sample I	Assets/Product/Texture/Image/IconTools/IconActivityConsume2012001.png	2	3	4	5	240	3	-10	-10	25		1	10	1														0	0	0
5	Gibbering Conch I	Assets/Product/Texture/Image/IconTools/IconActivityConsume2024001.png	2	5			150	25			24		1	10	1														0	0	0
6	Nightmare Plume I	Assets/Product/Texture/Image/IconTools/IconActivityConsume2028001.png	2	4			300	-10					1	10	1														0	0	0
7	Wolfbound Stone I	Assets/Product/Texture/Image/IconTools/IconActivityConsume2030001.png	1	4			25	-10					1	10	1														0	0	0
8	Sundered Puppet I	Assets/Product/Texture/Image/IconTools/IconActivityConsume2033001.png	1	4			13	25			23		1	10	1														0	0	0
10	Extinction Cluster I	Assets/Product/Texture/Image/IconTools/IconActivityConsume2039001.png	1	5			13	25			24		1	10	1														0	0	0
12	Cursed Coin I	Assets/Product/Texture/Image/IconTools/IconRougeItem06.png	2	4			240	10			23		1	10	1														0	0	0
13	Whispering Amethyst I	Assets/Product/Texture/Image/IconTools/IconRougeItem07.png	2	5			240	10			24		1	10	1														0	0	0
14	Forbidden Scroll I	Assets/Product/Texture/Image/IconTools/IconRougeItem08.png	2	5			300	-10					1	10	1														0	0	0
15	Mithril Journal I	Assets/Product/Texture/Image/IconTools/IconRougeItem09.png	1	5			25	-10					1	20	1														0	0	0
17	Frenzied Shard II	Assets/Product/Texture/Image/IconTools/IconActivityConsume2008002.png	2	4			200	33			23		2	20	2														0	0	0
18	Meteorite Sample II	Assets/Product/Texture/Image/IconTools/IconActivityConsume2012001.png	2	3	4	5	320	4	-13	-13	25		2	20	2														0	0	0
21	Gibbering Conch II	Assets/Product/Texture/Image/IconTools/IconActivityConsume2024001.png	2	5			200	33			24		2	20	2														0	0	0
22	Nightmare Plume II	Assets/Product/Texture/Image/IconTools/IconActivityConsume2028001.png	2	4			400	-14					2	20	2														0	0	0
23	Wolfbound Stone II	Assets/Product/Texture/Image/IconTools/IconActivityConsume2030001.png	1	4			33	-14					2	20	2														0	0	0
24	Sundered Puppet II	Assets/Product/Texture/Image/IconTools/IconActivityConsume2033001.png	1	4			17	33			23		2	20	2														0	0	0
26	Extinction Cluster II	Assets/Product/Texture/Image/IconTools/IconActivityConsume2039001.png	1	5			17	33			24		2	20	2														0	0	0
28	Cursed Coin II	Assets/Product/Texture/Image/IconTools/IconRougeItem06.png	2	4			320	13			23		2	20	2														0	0	0
29	Whispering Amethyst II	Assets/Product/Texture/Image/IconTools/IconRougeItem07.png	2	5			320	13			24		2	30	2														0	0	0
30	Forbidden Scroll II	Assets/Product/Texture/Image/IconTools/IconRougeItem08.png	2	5			400	-14					2	30	2														0	0	0
31	Mithril Journal II	Assets/Product/Texture/Image/IconTools/IconRougeItem09.png	1	5			33	-14					2	30	2														0	0	0
33	Frenzied Shard III	Assets/Product/Texture/Image/IconTools/IconActivityConsume2008002.png	2	4			250	41			23		3	30	3														0	0	0
34	Meteorite Sample III	Assets/Product/Texture/Image/IconTools/IconActivityConsume2012001.png	2	3	4	5	400	5	-6	-6	25		3	30	3														0	0	0
37	Gibbering Conch III	Assets/Product/Texture/Image/IconTools/IconActivityConsume2024001.png	2	5			250	41			24		3	30	3														0	0	0
38	Nightmare Plume III	Assets/Product/Texture/Image/IconTools/IconActivityConsume2028001.png	2	4			500	-17					3	30	3														0	0	0
39	Wolfbound Stone III	Assets/Product/Texture/Image/IconTools/IconActivityConsume2030001.png	1	4			21	41			23		3	30	3														0	0	0
41	Crimson Bloodstone III	Assets/Product/Texture/Image/IconTools/IconActivityConsume2038001.png	1	5			21	41			24		3	30	3														0	0	0
42	Extinction Cluster III	Assets/Product/Texture/Image/IconTools/IconActivityConsume2039001.png	1	4			41	-17					3	30	3														0	0	0
44	Cursed Coin III	Assets/Product/Texture/Image/IconTools/IconRougeItem06.png	2	4			400	16			23		3	40	3														0	0	0
45	Whispering Amethyst III	Assets/Product/Texture/Image/IconTools/IconRougeItem07.png	2	5			400	16			24		3	40	3														0	0	0
46	Forbidden Scroll III	Assets/Product/Texture/Image/IconTools/IconRougeItem08.png	2	5			500	-17					3	40	3														0	0	0
48	Abyssal Dagger III	Assets/Product/Texture/Image/IconTools/IconRougeItem014.png	1	5			41	-17					3	40	3														0	0	0
71	Cipher Diary I	Assets/Product/Texture/Image/IconTools/IconRougeItem015.png	2				250						1	10	1														0	0	0
72	Abyssal Crystal I	Assets/Product/Texture/Image/IconTools/IconRougeItem016.png	2	4			125	20			23		1	10	1														0	0	0
73	Shattered Pale Eye I	Assets/Product/Texture/Image/IconTools/IconRougeItem017.png	2	5			125	20			24		1	10	1														0	0	0
74	Misty Dossier I	Assets/Product/Texture/Image/IconTools/IconRougeItem022.png	1	2			10	125					1	10	1														0	0	0
75	Evil Eye Scroll I	Assets/Product/Texture/Image/IconTools/IconRougeItem030.png	1	4			10	20			23		1	10	1														0	0	0
76	Phantom Elixir I	Assets/Product/Texture/Image/IconTools/IconRougeItem032.png	1	5			10	20			24		1	10	1														0	0	0
77	Frenzied Note I	Assets/Product/Texture/Image/IconTools/IconRougeItem033.png	3	2	4	5	5	175	-10	-10	25		1	10	1														0	0	0
78	Cipher Diary II	Assets/Product/Texture/Image/IconTools/IconRougeItem015.png	2				375						2	15	2														0	0	0
79	Abyssal Crystal II	Assets/Product/Texture/Image/IconTools/IconRougeItem016.png	2	4			187	30			23		2	15	2														0	0	0
80	Shattered Pale Eye II	Assets/Product/Texture/Image/IconTools/IconRougeItem017.png	2	5			187	30			24		2	15	2														0	0	0
81	Misty Dossier II	Assets/Product/Texture/Image/IconTools/IconRougeItem022.png	1	2			15	187					2	15	2														0	0	0
82	Evil Eye Scroll II	Assets/Product/Texture/Image/IconTools/IconRougeItem030.png	1	4			15	30			23		2	15	2														0	0	0
83	Phantom Elixir II	Assets/Product/Texture/Image/IconTools/IconRougeItem032.png	1	5			15	30			24		2	15	2														0	0	0
84	Frenzied Note II	Assets/Product/Texture/Image/IconTools/IconRougeItem033.png	3	2	4	5	7	262	-15	-15	25		2	15	2														0	0	0
85	Cipher Diary III	Assets/Product/Texture/Image/IconTools/IconRougeItem015.png	2				500						3	20	3														0	0	0
86	Abyssal Crystal III	Assets/Product/Texture/Image/IconTools/IconRougeItem016.png	2	4			250	40			23		3	20	3														0	0	0
87	Shattered Pale Eye III	Assets/Product/Texture/Image/IconTools/IconRougeItem017.png	2	5			250	40			24		3	20	3														0	0	0
88	Misty Dossier III	Assets/Product/Texture/Image/IconTools/IconRougeItem022.png	1	2			20	250					3	20	3														0	0	0
89	Evil Eye Scroll III	Assets/Product/Texture/Image/IconTools/IconRougeItem030.png	1	4			20	40			23		3	20	3														0	0	0
90	Phantom Elixir III	Assets/Product/Texture/Image/IconTools/IconRougeItem032.png	1	5			20	40			24		3	20	3														0	0	0
91	Frenzied Note III	Assets/Product/Texture/Image/IconTools/IconRougeItem033.png	3	2	4	5	10	350	-20	-20	25		3	20	3														0	0	0
100	Sundered Radiance	Assets/Product/Texture/Image/IconTools/UiTheatre5Icon09.png											5	50	4	Choose 1 skill to star up.	Choose 1 skill to star up.	53											0	0	0
1025201	Soulbinding Belt	Assets/Product/Texture/Image/IconTools/IconRougeItem034.png	1	2			5	100			23		4	50	4	[Parry Skills] deal {0} increased DMG. If they are <color=#516797><Icon=IconBlock|30|30|0.5/>Blocked</color>, their DMG dealt is increased by an additional {1}. <color=#E7D09A>Unique</color>.	[Parry Skills] deal increased DMG, with an additional increase when <color=#516797><Icon=IconBlockBlack|30|30|0.5/>Blocked</color>	1025201	20%	100%			1500	1	26				0	0	0
1025203	Whispering Box	Assets/Product/Texture/Image/IconTools/IconRougeItem035.png	1	2			5	100			24		4	50	4	Each time a [Counter Skill] is triggered, reduces DMG taken by {0}, up to {1} stacks. <color=#E7D09A>Unique</color>.	Gains DMG reduction when triggering Counter.	1025203	5%	3			1500	1	26				0	0	0
1025205	Weeping Diary	Assets/Product/Texture/Image/IconTools/IconRougeItem036.png	1	2			5	100			25		4	50	4	When using any skill, gains {1} <color=#6F4877><Icon=IconStamina|30|30|0.5/>Fighting Will</color> for every {0} <color=#6F4877><Icon=IconStamina|30|30|0.5/>Fighting Will</color>, up to {2}. Can trigger up to {3} times per battle. <color=#E7D09A>Unique</color>.	After using a skill, gains <color=#6F4877><Icon=IconStaminaBlack|30|30|0.5/>Fighting Will</color> based on your <color=#6F4877><Icon=IconStaminaBlack|30|30|0.5/>Fighting Will</color>.	1025205	40	1	5	8	1500	1	26				0	0	0
1025207	Scarlet Statue	Assets/Product/Texture/Image/IconTools/IconRougeItem037.png	1	2			5	100					4	50	4	Before acting for the first time, reduces DMG taken by {0}. During the first First Strike, deals {1} increased DMG. <color=#E7D09A>Unique</color>.	Gains DMG reduction before first action. DMG increases during first action.	1025207	10%	10%			1500	1	26				0	0	0
1025209	Boiling Blood Crystal	Assets/Product/Texture/Image/IconTools/IconSimulatedCombat02.png	1	2			5	100			16		4	50	4	Gains {0} stacks of <color=#B96716><<Icon=IconCrit|30|30|0.5/>CRIT</color> upon entering battle. <color=#E7D09A>Unique</color>.	Upon entering battle, gains <color=#B96716><<Icon=IconCritBlack|30|30|0.5/>CRIT></color>.	1025209	1				1500	1	26				0	0	0
1025211	Pale Crystal	Assets/Product/Texture/Image/IconTools/IconTheatre02.png	1	2			5	100			18		4	50	4	Gains {0} stacks of <color=#516797><<Icon=IconBlock|30|30|0.5/>Block</color> upon entering battle. <color=#E7D09A>Unique</color>.	Upon entering battle, gains <color=#516797><<Icon=IconBlockBlack|30|30|0.5/>Block></color>.	1025211	1				1500	1	26				0	0	0
1025213	Shackled Delirium	Assets/Product/Texture/Image/IconTools/IconTheatre04.png	1	2			5	100					4	50	4	After using a [Parry Skill] or [Counter Skill], DMG dealt increases by {1} for {0}s. <color=#E7D09A>Unique</color>.	After using a [Parry Skill] or [Counter Skill], DMG dealt increases for a short time.	1025213	3	15%			1500	1	26				0	0	0
1025215	Requiem Violin	Assets/Product/Texture/Image/IconTools/IconTheatre06.png	1	2			5	100					4	50	4	After using a [Trigger Skill], gains {0} <color=#6F4877><Icon=IconStamina|30|30|0.5/>Fighting Will</color>. <color=#E7D09A>Unique</color>.	After using a [Trigger Skill], gains <color=#6F4877><Icon=IconStaminaBlack|30|30|0.5/>Fighting Will</color>.	1025215	4				1500	1	26				0	0	0
1025217	Unknown Archive	Assets/Product/Texture/Image/IconTools/IconTheatre07.png	1	2			5	100			23	24	4	50	4	Upon entering battle, <color=#6F4877><Icon=IconStamina|30|30|0.5/>Fighting Will</color> increases by {1} for every {0} <color=#516797><Icon=IconOverClock|30|30|0.5/>Hypersequence</color> or <color=#B96716><Icon=IconWrestle|30|30|0.5/>Initiative</color>. <color=#E7D09A>Unique</color>.	Increases <color=#6F4877><Icon=IconStaminaBlack|30|30|0.5/>Fighting Will</color> based on <color=#516797><Icon=IconOverClockBlack|30|30|0.5/>Hypersequence</color> and <color=#B96716><Icon=IconWrestleBlack|30|30|0.5/>Initiative</color>.	1025217	30	1			1500	1	26				0	0	0
1025219	Bizarre Folio	Assets/Product/Texture/Image/IconTools/IconTheatre08.png	1	2			5	100					4	50	4	For every {0} <color=#487F3B><Icon=IconLife|30|30|0.5/>HP</color> lost, DMG taken decreases by {1}. <color=#E7D09A>Unique</color>.	Reduces DMG taken based on <color=#487F3B><Icon=IconLifeBlack|30|30|0.5/>HP</color> lost.	1025219	10%	1%			1500	1	26				0	0	0
1025221	Inspector's Journal	Assets/Product/Texture/Image/IconTools/IconTheatre10.png	1	2			5	100			16	18	4	50	4	Every time either side triggers a <color=#516797><Icon=IconBlock|30|30|0.5/>Block</color> <color=#B96716><Icon=IconCrit|30|30|0.5/>CRIT</color>, increases <color=#487F3B><Icon=IconLife|30|30|0.5/>Max HP</color> by {0} and restores <color=#487F3B><Icon=IconLife|30|30|0.5/>HP</color> by the same amount. <color=#E7D09A>Unique</color>.	Every time either side triggers a <color=#516797><Icon=IconBlockBlack|30|30|0.5/>Block</color> <color=#B96716><Icon=IconCritBlack|30|30|0.5/>CRIT</color>, increases <color=#487F3B><Icon=IconLifeBlack|30|30|0.5/>Max HP</color>.	1025221	100				1500	1	26				0	0	0
1025223	Astral Blossom	Assets/Product/Texture/Image/IconTools/IconTheatre13.png	1	2			5	100					4	50	4	[Active Skills] deal {0} increased DMG. DMG taken from enemy [Active Skills] decreases by {1}. <color=#E7D09A>Unique</color>.	[Active Skills] deal increased DMG. DMG taken from enemy [Active Skills] decreases.	1025223	5%	5%			1500	1	26				0	0	0
1025225	Usurper Laurel	Assets/Product/Texture/Image/IconTools/IconTheatre14.png	1	2			5	100			25		4	50	4	Every time a skill is cast, <color=#6F4877><Icon=IconStamina|30|30|0.5/>Fighting Will</color> increases by {0}. <color=#E7D09A>Unique</color>.	Each time a skill is cast, increases <color=#6F4877><Icon=IconStaminaBlack|30|30|0.5/>Fighting Will</color>.	1025225	2				1500	1	26				0	0	0
1025227	Cursed Ring	Assets/Product/Texture/Image/IconTools/IconTheatre16.png	1	2			5	100			25		4	50	4	Upon entering battle, increases <color=#487F3B><Icon=IconLife|30|30|0.5/>Max HP</color> by {1} and restores <color=#487F3B><Icon=IconLife|30|30|0.5/>HP</color> by the same amount for every {0} <color=#6F4877><Icon=IconStamina|30|30|0.5/>Fighting Will</color>. <color=#E7D09A>Unique</color>.	Upon entering battle, increases <color=#487F3B><Icon=IconLifeBlack|30|30|0.5/>Max HP</color> based on <color=#6F4877><Icon=IconStaminaBlack|30|30|0.5/>Fighting Will</color>.	1025227	1	4			1500	1	26				0	0	0
1025301	Ruined Pillar	Assets/Product/Texture/Image/IconTools/IconTheatre17.png	1	2			5	100			13		4	50	4	When inflicting <color=#487F3B><Icon=IconHitFly|30|30|0.5/>Knockback</color>, <color=#9B8015><Icon=IconAttackBlack|30|30|0.5/>Attack</color> increases by {0}. <color=#E7D09A>Unique</color>.	When inflicting <color=#487F3B><Icon=IconHitFlyBlack|30|30|0.5/>Knockback</color>, increases <color=#9B8015><Icon=IconAttackBlack|30|30|0.5/>ATK</color>.	1025301	3				1500	1	26		3		0	0	0
1025303	Phantom Vivarium	Assets/Product/Texture/Image/IconTools/IconTheatre18.png	1	2			5	100			13		4	50	4	After enemies are inflicted with <color=#487F3B><Icon=IconHitFly|30|30|0.5/>Knockback</color>, their DMG taken increases by {1} for {0}s. <color=#E7D09A>Unique</color>.	After enemies are inflicted with <color=#487F3B><Icon=IconHitFlyBlack|30|30|0.5/>Knockback</color>, they take increased damage for a short period.	1025303	3	15%			1500	1	26		3		0	0	0
1025305	Soulbound Casket	Assets/Product/Texture/Image/IconTools/IconTheatre19.png	1	2			5	100			16		4	50	4	For every {0} non-<color=#B96716><Icon=IconCrit|30|30|0.5/>CRIT</color> skills cast, gains {1} stacks of <color=#B96716><<Icon=IconCrit|30|30|0.5/>CRIT</color>. <color=#E7D09A>Unique</color>.	Casting non-<color=#B96716><Icon=IconCritBlack|30|30|0.5/>CRIT</color> multiple times grants <color=#B96716><<Icon=IconCritBlack|30|30|0.5/>CRIT></color>.	1025305	3	1			1500	1	26		3		0	0	0
1025307	Silver Lament	Assets/Product/Texture/Image/IconTools/IconTheatre20.png	1	2			5	100			16		4	50	4	When skills <color=#B96716><Icon=IconCrit|30|30|0.5/>CRIT</color>, increases DMG dealt by {0} and recovers {1} <color=#516797><Icon=IconOverClock|30|30|0.5/>Hypersequence</color>. <color=#E7D09A>Unique</color>.	When skills <color=#B96716><Icon=IconCritBlack|30|30|0.5/>CRIT</color>, increases DMG dealt by and recovers <color=#516797><Icon=IconOverClockBlack|30|30|0.5/>Hypersequence</color>.	1025307	20%	5			1500	1	26		3		0	0	0
1025309	Gnarled Hand	Assets/Product/Texture/Image/IconTools/ItCharAprilFoolsDay01.png	1	2			5	100			12		4	50	4	For every {0} [Active Skills] cast, inflicts {1} stacks of <color=#B96716><Icon=IconBurning|30|30|0.5/>Burn</color>. <color=#E7D09A>Unique</color>.	When using [Active Skills] multiple times, inflicts <color=#B96716><Icon=IconBurningBlack|30|30|0.5/>Ignition</color>.	1025309	2	1			1500	1	26		3		0	0	0
1025311	Apocrypha Scourge	Assets/Product/Texture/Image/IconTools/ItCharAprilFoolsDay02.png	1	2			5	100			12		4	50	4	Enemies inflicted with <color=#B96716><Icon=IconBurning|30|30|0.5/>Burn</color> have their DMG dealt decreased by {1} for every {0} stacks of <color=#B96716><Icon=IconBurning|30|30|0.5/>Burn</color>. <color=#E7D09A>Unique</color>.	Reduces enemy's damage dealt based on their <color=#B96716><Icon=IconBurningBlack|30|30|0.5/>Ignition</color> stacks.	1025311	1	1%			1500	1	26		3		0	0	0
1025313	Bone Cairn	Assets/Product/Texture/Image/IconTools/UiConnectingLineGameItem02.png	1	2			5	100			13		4	50	4	When <color=#487F3B><Icon=IconLife|30|30|0.5/>HP</color> drops to {0} of <color=#487F3B><Icon=IconLife|30|30|0.5/>Max HP</color> for the first time, recovers {1} <color=#6F4877><Icon=IconStamina|30|30|0.5/>Fighting Will</color>. Throughout the battle, recovers {3} additional <color=#6F4877><Icon=IconStamina|30|30|0.5/>Fighting Will</color> for every {2} <color=#487F3B><Icon=IconHitFly|30|30|0.5/>Knockback</color> inflicted. <color=#E7D09A>Unique</color>.	When <color=#487F3B><Icon=IconLifeBlack|30|30|0.5/>HP</color> drops to half of your <color=#487F3B><Icon=IconLifeBlack|30|30|0.5/>Max HP</color> for the first time, recovers <color=#6F4877><Icon=IconStaminaBlack|30|30|0.5/>Fighting Will</color>.	1025313	50%	10	1	5	1500	1	26		3		0	0	0
1025401	Pallid Blossom	Assets/Product/Texture/Image/IconTools/UiDragPuzzleItem09.png	1	2			5	100			14		4	50	4	When inflicting <color=#487F3B><Icon=IconHitDown|30|30|0.5/>Knockdown</color>, <color=#B96716><Icon=IconWrestle|30|30|0.5/>Initiative</color> increases by {0}. <color=#E7D09A>Unique</color>.	When inflicting <color=#487F3B><Icon=IconHitDownBlack|30|30|0.5/>Knockdown</color>, increases <color=#B96716><Icon=IconWrestleBlack|30|30|0.5/>Initiative</color> throughout the battle.	1025401	6				1500	1	26		2		0	0	0
1025403	Nightwing Amber	Assets/Product/Texture/Image/IconTools/UiInvertCardGameItem06.png	1	2			5	100			14		4	50	4	When inflicting <color=#487F3B><Icon=IconHitDown|30|30|0.5/>Knockdown</color>, reduces enemy's <color=#6F4877><Icon=IconStamina|30|30|0.5/>Fighting Will</color> and <color=#516797><Icon=IconOverClock|30|30|0.5/>Hypersequence</color> by {1} for every {0} <color=#487F3B><Icon=IconHitDown|30|30|0.5/>Knockdown</color> inflicted throughout the battle. <color=#E7D09A>Unique</color>.	When inflicting <color=#487F3B><Icon=IconHitDownBlack|30|30|0.5/>Knockdown</color>, reduces enemy's <color=#6F4877><Icon=IconStaminaBlack|30|30|0.5/>Fighting Will</color> and <color=#516797><Icon=IconOverClockBlack|30|30|0.5/>Hypersequence</color> by 1.	1025403	1	1			1500	1	26		2		0	0	0
1025405	Abyssal Shell	Assets/Product/Texture/Image/IconTools/UiLivWarmItem02.png	1	2			5	100			18	24	4	50	4	After successfully <color=#516797><Icon=IconBlock|30|30|0.5/>Blocking</color> {0} skills, <color=#516797><Icon=IconOverClock|30|30|0.5/>Hypersequence</color> increases by {1} and <color=#6F4877><Icon=IconStamina|30|30|0.5/>Fighting Will</color> increases by {2}. <color=#E7D09A>Unique</color>.	Increases <color=#516797><Icon=IconOverClockBlack|30|30|0.5/>Hypersequence</color> and <color=#6F4877><Icon=IconStaminaBlack|30|30|0.5/>Fighting Will</color> when <color=#516797><Icon=IconBlockBlack|30|30|0.5/>Blocking</color> skills multiple times.	1025405	2	10	3		1500	1	26		2		0	0	0
