Id	NeedQualitys[1]	NeedQualitys[2]	NeedQualitys[3]	NeedQualitys[4]	NeedQualitys[5]	QualityWeights[1]	QualityWeights[2]	QualityWeights[3]	QualityWeights[4]	QualityWeights[5]	AppointAttrPackId	AppointAttrPackWeight	NeedTags[1]	NeedTags[2]	TagWeights[1]	TagWeights[2]	SameTagWeight	MaxSameTagWeight	Name	Desc
21	1	2	3			50	30	15			0	0	0		0		0	0	AscNet policy relic pool 21	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) restricted to the authored universal stat-relic quality band 1:3 (every authored quality 1, 2 and 3 relic row carries no Character and no BuffIds; the quality 4 and 5 rows all carry effect BuffIds), with local per-candidate quality weights 50:30:15. The retail composition of this pool is not recovered.
103	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 103	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
202	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 202	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
212	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 212	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
222	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 222	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
232	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 232	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
242	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 242	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
252	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 252	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
262	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 262	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
272	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 272	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
282	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 282	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
292	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 292	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
294	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 294	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
296	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 296	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
500	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 500	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
501	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 501	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
701	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 701	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
703	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 703	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
705	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 705	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
2001	1	2	3	4	5	50	30	15	4	1	0	0	0		0		0	0	AscNet policy relic pool 2001	NOT a retail import. AscNet policy for the missing Theatre6AttrPackPool definition; candidates are authored Theatre6AttrPack rows (IsOutPool=0, same character) with a local per-candidate quality weights 50:30:15:4:1.
