Id	CharacterId	SkillIds[1]	SkillIds[2]	SkillIds[3]	SkillIds[4]	SkillIds[5]	SkillIds[6]	SkillIds[7]	SkillIds[8]	AttrTypes[1]	AttrTypes[2]	AttrTypes[3]	AttrTypes[4]	AttrTypes[5]	ShowSkills[1]	ShowSkills[2]	ShowSkills[3]	AttrPacks[1]	AttrPacks[2]	AttrPacks[3]	AttrPacks[4]	AttrPacks[5]	AttrPacks[6]	AttrPacks[7]	AttrPacks[8]	AttrPackNums[1]	AttrPackNums[2]	AttrPackNums[3]	AttrPackNums[4]	AttrPackNums[5]	AttrPackNums[6]	AttrPackNums[7]	AttrPackNums[8]	DlcAttrGroup	BuildTags[1]	BuildTags[2]	SaveTags[1]	SupportDesc	Score
100	10	82261011	82261021	82261031	82261041	82264011				140	1530	80	180	180	82264011	82261031		1								1								1025					0
101	10	82261012	82261022	82261032	82261042	82264012				200	4250	80	250	250	82264012	82261032		1	2							1	1							1025					0
102	10	82261013	82261023	82261033	82261043	82264013				360	8500	80	350	350	82264013	82261033		1	2							1	2							1025					0
120	10	82261011	82261021	82261031	82261041	82264011				154	1800	80	180	180	82264011	82261031		1								1								1025					0
121	10	82261012	82261022	82261032	82261042	82264012				220	5000	80	250	250	82264012	82261032		1	2							1	1							1025					0
122	10	82261013	82261023	82261033	82261043	82264013				396	10000	80	350	350	82264013	82261033		1	2							1	2							1025					0
130	10	82261011	82261021	82261031	82261041	82264011				169	2160	80	200	200	82264011	82261031		1								1								1025					0
131	10	82261012	82261022	82261032	82261042	82264012				242	6000	80	290	290	82264012	82261032		1	2							1	1							1025					0
132	10	82261013	82261023	82261033	82261043	82264013				435	16000	80	410	410	82264013	82261033		1	2							1	2							1025					0
140	10	82261011	82261021	82261031	82261041	82264011				185	2660	80	230	230	82264011	82261031		1								1								1025					0
141	10	82261012	82261022	82261032	82261042	82264012				266	6500	80	340	340	82264012	82261032		1	2							1	1							1025					0
142	10	82261013	82261023	82261033	82261043	82264013				478	16500	80	460	460	82264013	82261033		1	2							1	2							1025					0
150	10	82261011	82261021	82261031	82261041	82264011				203	2660	80	230	230	82264011	82261031		1								1								1025					0
151	10	82261012	82261022	82261032	82261042	82264012				292	6500	80	340	340	82264012	82261032		1	2							1	1							1025					0
152	10	82261013	82261023	82261033	82261043	82264013				525	16500	80	460	460	82264013	82261033		1	2							1	2							1025					0
300	12	82251011	82251021	82251031	82251041	82254011				140	1530	80	180	180				1								1								1025					0
301	12	82251012	82251022	82251032	82251042	82254012				200	4250	80	250	250				1	2							1	1							1025					0
302	12	82251013	82251023	82251033	82251043	82254013				360	8500	80	350	350				1	2							1	2							1025					0
320	12	82251011	82251021	82251031	82251041	82254011				154	1800	80	180	180				1								1								1025					0
321	12	82251012	82251022	82251032	82251042	82254012				220	5000	80	250	250				1	2							1	1							1025					0
322	12	82251013	82251023	82251033	82251043	82254013				396	10000	80	350	350				1	2							1	2							1025					0
330	12	82251011	82251021	82251031	82251041	82254011				169	2160	80	200	200				1								1								1025					0
331	12	82251012	82251022	82251032	82251042	82254012				242	6000	80	290	290				1	2							1	1							1025					0
