Id	SkillKey	Name	Desc	ShortDesc	DescParams[1]	DescParams[2]	DescParams[3]	DescParams[4]	DescParams[5]	DescParams[6]	Icon	ComboList[1]	ComboList[2]	ComboList[3]	ComboList[4]	BuildTags[1]	BuildTags[2]	Level	Magics[1]	Type	SaveScore	Character	BuyPrice	SellPrice	CostTL	CSMag	TLDam	Quality	KeyWordIds[1]	KeyWordIds[2]	KeyWordIds[3]	IsOutPool	IsOutWiki	WikiPriority
10251011	1025101	Searing Blade	If the previous skill inflicted <color=#487F3B><Icon=IconHitFly|30|30|0.5/>Knockback</color>, inflicts {0} stacks of <color=#9B8015><Icon=IconBurning|30|30|0.5/>Burn</color> additionally.	Deals DMG. If the previous skill inflicted <color=#487F3B><Icon=IconHitFlyBlack|30|30|0.5/>Knockback</color>, inflicts <color=#B96716><Icon=IconBurningBlack|30|30|0.5/>Burn</color> additionally.	1						Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillIcon12.png	1025101				12	13	1	10251010	1	2000	3	20	10	25	24000	1	2					0	0
10251012	1025101	Searing Blade	If the previous skill inflicted <color=#487F3B><Icon=IconHitFly|30|30|0.5/>Knockback</color>, inflicts {0} stacks of <color=#9B8015><Icon=IconBurning|30|30|0.5/>Burn</color> additionally.	Deals DMG. If the previous skill inflicted <color=#487F3B><Icon=IconHitFlyBlack|30|30|0.5/>Knockback</color>, inflicts <color=#B96716><Icon=IconBurningBlack|30|30|0.5/>Burn</color> additionally.	2						Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillIcon12.png	1025101				12	13	2	10251010	1	3000	3	40	20	25	30000	1	2					0	0
10251013	1025101	Searing Blade	If the previous skill inflicted <color=#487F3B><Icon=IconHitFly|30|30|0.5/>Knockback</color>, inflicts {0} stacks of <color=#9B8015><Icon=IconBurning|30|30|0.5/>Burn</color> additionally.	Deals DMG. If the previous skill inflicted <color=#487F3B><Icon=IconHitFlyBlack|30|30|0.5/>Knockback</color>, inflicts <color=#B96716><Icon=IconBurningBlack|30|30|0.5/>Burn</color> additionally.	3						Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillIcon12.png	1025101				12	13	3	10251010	1	4000	3	80	40	25	37500	1	2					0	0
10251021	1025102	Phantom Ascent	When <color=#B96716><Icon=IconWrestle|30|30|0.5/>Initiative</color> > {0} (Current: {Attr:4}), inflicts <color=#487F3B><Icon=IconHitFly|30|30|0.5/>Knockback</color> additionally.	Deals DMG and inflicts <color=#487F3B><Icon=IconHitFlyBlack|30|30|0.5/>Knockback</color> based on <color=#B96716><Icon=IconWrestleBlack|30|30|0.5/>Initiative</color>.	300						Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillIcon03.png	1025102				13		1	10251020	1	2000	3	20	10	20	17500	1	2					0	0
10251022	1025102	Phantom Ascent	When <color=#B96716><Icon=IconWrestle|30|30|0.5/>Initiative</color> > {0} (Current: {Attr:4}), inflicts <color=#487F3B><Icon=IconHitFly|30|30|0.5/>Knockback</color> additionally.	Deals DMG and inflicts <color=#487F3B><Icon=IconHitFlyBlack|30|30|0.5/>Knockback</color> based on <color=#B96716><Icon=IconWrestleBlack|30|30|0.5/>Initiative</color>.	300						Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillIcon03.png	1025102				13		2	10251020	1	3000	3	40	20	20	20000	1	2					0	0
10251023	1025102	Phantom Ascent	When <color=#B96716><Icon=IconWrestle|30|30|0.5/>Initiative</color> > {0} (Current: {Attr:4}), inflicts <color=#487F3B><Icon=IconHitFly|30|30|0.5/>Knockback</color> additionally.	Deals DMG and inflicts <color=#487F3B><Icon=IconHitFlyBlack|30|30|0.5/>Knockback</color> based on <color=#B96716><Icon=IconWrestleBlack|30|30|0.5/>Initiative</color>.	300						Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillIcon03.png	1025102				13		3	10251020	1	4000	3	80	40	20	25000	1	2					0	0
10251031	1025103	Incinerating Nightfall	Inflicts {0} stacks of <color=#9B8015><Icon=IconBurning|30|30|0.5/>Burn</color>.\n\nIf this skill is a <color=#B96716><Icon=IconCrit|30|30|0.5/>CRIT</color>, inflicts {1} stacks of <color=#9B8015><Icon=IconBurning|30|30|0.5/>Burn</color> additionally.	Deals DMG and inflicts <color=#B96716><Icon=IconBurningBlack|30|30|0.5/>Burn</color>. On <color=#B96716><Icon=IconCritBlack|30|30|0.5/>CRIT</color>, inflicts additional <color=#B96716><Icon=IconBurningBlack|30|30|0.5/>Burn</color>.	1	1					Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillIcon26.png	1025103				12	16	1	10251030	1	2000	3	20	10	25	24000	1	2					0	0
10251032	1025103	Incinerating Nightfall	Inflicts {0} stacks of <color=#9B8015><Icon=IconBurning|30|30|0.5/>Burn</color>.\n\nIf this skill is a <color=#B96716><Icon=IconCrit|30|30|0.5/>CRIT</color>, inflicts {1} stacks of <color=#9B8015><Icon=IconBurning|30|30|0.5/>Burn</color> additionally.	Deals DMG and inflicts <color=#B96716><Icon=IconBurningBlack|30|30|0.5/>Burn</color>. On <color=#B96716><Icon=IconCritBlack|30|30|0.5/>CRIT</color>, inflicts additional <color=#B96716><Icon=IconBurningBlack|30|30|0.5/>Burn</color>.	1	2					Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillIcon26.png	1025103				12	16	2	10251030	1	3000	3	40	20	25	30000	1	2					0	0
10251033	1025103	Incinerating Nightfall	Inflicts {0} stacks of <color=#9B8015><Icon=IconBurning|30|30|0.5/>Burn</color>.\n\nIf this skill is a <color=#B96716><Icon=IconCrit|30|30|0.5/>CRIT</color>, inflicts {1} stacks of <color=#9B8015><Icon=IconBurning|30|30|0.5/>Burn</color> additionally.	Deals DMG and inflicts <color=#B96716><Icon=IconBurningBlack|30|30|0.5/>Burn</color>. On <color=#B96716><Icon=IconCritBlack|30|30|0.5/>CRIT</color>, inflicts additional <color=#B96716><Icon=IconBurningBlack|30|30|0.5/>Burn</color>.	1	3					Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillIcon26.png	1025103				12	16	3	10251030	1	4000	3	80	40	25	36000	1	2					0	0
10251041	1025104	Flamebreath	For every {0} stacks of <color=#9B8015><Icon=IconBurning|30|30|0.5/>Burn</color> on the enemy, inflicts {1} additional stacks of <color=#9B8015><Icon=IconBurning|30|30|0.5/>Burn</color>, up to {2} stacks.	Deals DMG and inflicts additional <color=#B96716><Icon=IconBurningBlack|30|30|0.5/>Burn</color> based on the number of stacks of <color=#B96716><Icon=IconBurningBlack|30|30|0.5/>Burn</color> on the enemy.	3	1	3				Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillIcon17.png	1025104				12		1	10251040	1	2000	3	20	10	20	12000	1	2					0	0
