Id	NeedLevels[1]	NeedLevels[2]	LevelWeights[1]	LevelWeights[2]	NeedQualitys[1]	NeedQualitys[2]	NeedQualitys[3]	NeedQualitys[4]	NeedQualitys[5]	QualityWeights[1]	QualityWeights[2]	QualityWeights[3]	QualityWeights[4]	QualityWeights[5]	AppointSkillId[1]	AppointSkillId[2]	NeedTags[1]	NeedTags[2]	TagWeights[1]	TagWeights[2]	SameTagWeight	MaxSameTagWeight	Name	Desc
1	1		100		1					100					0		0		0		0	0	AscNet policy skill pool 1	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), quality tier advertised by Theatre6RandomPool 1 (White).
2	1		100		2					100					0		0		0		0	0	AscNet policy skill pool 2	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), quality tier advertised by Theatre6RandomPool 2 (Green).
3	1		100		3					100					0		0		0		0	0	AscNet policy skill pool 3	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), quality tier advertised by Theatre6RandomPool 3 (Purple).
4	1		100		4					100					0		0		0		0	0	AscNet policy skill pool 4	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), quality tier advertised by Theatre6RandomPool 4 (Gold).
18	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 18	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
19	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 19	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
20	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 20	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
201	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 201	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
211	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 211	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
221	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 221	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
231	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 231	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
241	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 241	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
251	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 251	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
261	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 261	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
271	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 271	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
273	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 273	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
281	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 281	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
283	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 283	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
291	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 291	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
293	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 293	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
295	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 295	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
297	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 297	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
298	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 298	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
301	1		100		1	2	3	4	5	50	30	15	4	1	0		0		0		0	0	AscNet policy skill pool 301	NOT a retail import. AscNet policy for the missing Theatre6SkillPool definition; candidates are authored Theatre6Skill rows (level 1, IsOutPool=0, same character), unnamed pool: local per-candidate quality weights 50:30:15:4:1.
