Id	FloorIds[1]	FloorIds[2]	FloorIds[3]	FloorIds[4]	HpNum	BaseSan	Name	SanGroupId	RewardIds[1]	RewardIds[2]	RewardIds[3]	ScoreProps[1]	ScoreProps[2]	ScoreProps[3]	MinScores[1]	MinScores[2]	MinScores[3]	MaxRewards[1]	MaxRewards[2]	MaxRewards[3]	AddRewards[1]	AddRewards[2]	AddRewards[3]	IsShowFloorNum	OverflowGoodsGold	Desc	Image	BaseSkillSlot
1	10				5	85	Common Storyline 1 (Discarded)	2	97083	97084	97085	1	0	0	14000	0	0	30	1	0	0	1	0		0			0
2	10				5	85	Common Storyline 2	2	97083	97084	97085	1	0	0	14000	0	0	30	1	0	0	1	0		0			0
3	60	61			5	85	Alpha 1	2	97083	97084	97085	1	0	0	14000	0	0	30	1	0	0	1	0		0			0
4	70	71			5	85	Alpha 2	2	97083	97084	97085	1	0	0	14400	0	0	40	1	0	0	1	0		0			0
5	80	81			5	85	Alpha 3	2	97083	97084	97085	1	0	0	15000	0	0	50	1	0	0	1	0		0			0
6	90	91			5	85	Alpha 4	2	97083	97084	97085	1	0	0	16100	0	0	60	1	0	0	1	0		0			0
7	20	21			5	85	Veronica 1	2	97083	97084	97085	1	0	0	14000	0	0	30	1	0	0	1	0		0			0
8	30				5	85	Veronica 2	2	97083	97084	97085	1	0	0	14400	0	0	40	1	0	0	1	0		0			0
9	40	41			5	85	Veronica 3	2	97083	97084	97085	1	0	0	15000	0	0	50	1	0	0	1	0		0			0
10	50	51			5	85	Veronica 4	2	97083	97084	97085	1	0	0	16100	0	0	60	1	0	0	1	0		0			0
11	100				5	85	Kamui 1	2	97083	97084	97085	1	0	0	14000	0	0	30	1	0	0	1	0		0			0
12	110	111	112		5	85	Kamui 2	2	97083	97084	97085	1	0	0	14400	0	0	40	1	0	0	1	0		0			0
13	120	121			5	85	Kamui 3	2	97083	97084	97085	1	0	0	15000	0	0	50	1	0	0	1	0		0			0
14	130	131			5	85	Kamui 4	2	97083	97084	97085	1	0	0	16100	0	0	60	1	0	0	1	0		0			0
100	1000	1001	1002		5	85	Season 1 Difficulty 1	2	97083	97084	97085	2	0	20	17600	0	17600	30	0	50	0	0	0	1	0			0
101	1010	1011	1012		4	85	Season 1 Difficulty 2	2	97083	97084	97085	2	0	12	17600	0	17600	40	0	150	0	0	0	1	0			0
102	1020	1021	1022		3	85	Season 1 Difficulty 3	1	97083	97084	97085	2	0	17	17600	0	17600	50	0	400	0	0	0	1	0			0
103	1030	1031	1032		3	85	Season 1 Difficulty 4	1	97083	97084	97085	2	0	24	17600	0	17600	60	0	800	0	0	0	1	0			0
1030	1030	1031	1033	1034	3	85	Season 1 Difficulty 4	1	97083	97084	97085	2	0	24	17600	0	17600	60	0	800	0	0	0	1	0			0
104	1040	1041	1042	1043	3	85	Season 1 Difficulty 5	1	97083	97084	97085	2	0	24	17600	0	17600	60	0	800	0	0	0	1	0			0
105	1000	1001	1002		5	85	Season 1 Difficulty 1	2	97083	97084	97085	2	0	20	17600	0	17600	30	0	50	0	0	0	1	0			0
106	1010	1011	1012		4	85	Season 1 Difficulty 2	2	97083	97084	97085	2	0	12	17600	0	17600	40	0	150	0	0	0	1	0			0
107	1020	1021	1022		3	85	Season 1 Difficulty 3	1	97083	97084	97085	2	0	17	17600	0	17600	50	0	400	0	0	0	1	0			0
108	1030	1031	1032		3	85	Season 1 Difficulty 4	1	97083	97084	97085	2	0	24	17600	0	17600	60	0	800	0	0	0	1	0			0
1080	1030	1031	1033	1034	3	85	Season 1 Difficulty 4	1	97083	97084	97085	2	0	24	17600	0	17600	60	0	800	0	0	0	1	0			0
109	1040	1041	1042	1043	3	85	Season 1 Difficulty 5	1	97083	97084	97085	2	0	24	17600	0	17600	60	0	800	0	0	0	1	0			0
110	1000	1001	1002		5	85	Season 1 Difficulty 1	2	97083	97084	97085	2	0	20	17600	0	17600	30	0	50	0	0	0	1	0			0
111	1010	1011	1012		4	85	Season 1 Difficulty 2	2	97083	97084	97085	2	0	12	17600	0	17600	40	0	150	0	0	0	1	0			0
112	1020	1021	1022		3	85	Season 1 Difficulty 3	1	97083	97084	97085	2	0	17	17600	0	17600	50	0	400	0	0	0	1	0			0
113	1030	1031	1033	1034	3	85	Season 1 Difficulty 4	1	97083	97084	97085	2	0	24	17600	0	17600	60	0	800	0	0	0	1	0			0
114	1040	1041	1042	1043	3	85	Season 1 Difficulty 5	1	97083	97084	97085	2	0	24	17600	0	17600	60	0	800	0	0	0	1	0			0
