Id	Name	Desc	Icon	BuffTriggerType	BuffEffectType	BuffEffectParams[1]	BuffEffectParams[2]	BuffEffectParams[3]	BuffEffectParams[4]	DurationType	DeathType	DebuffType	Limit	BuffTriggerParams[1]	BuffTriggerParams[2]	BuffTriggerParams[3]	IsCount	DescParams[1]	DescParams[2]	IsNotShow	DurationValues[1]	MaxNum	Quailty	Priority	CanStack
1	Steeled Resolve	Starts with 1 <Icon=IconAnger|45|45|0.5/>Rage Skill.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon23.png	7	5	1				5	1	1	1									0	0	0	0
2	Etched Edge	Increases <Icon=IconAttr01|45|45|0.5/>Attack by 1 for every 60 <Icon=IconGood01|45|45|0.5/>Sealed Omens obtained.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon09.png	2	7	1	1			1	2	1	99	1	60		1					0	0	0	0
3	Manifest Will	Increases <Icon=IconAttr02|45|45|0.5/>HP by 500 for every mission completed.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon25.png	11	7	2	500			1	2	1	3				1					0	0	0	0
4	Tempered Edge	Starts with 1 <Icon=IconBurning|45|45|0.5/>Ignite Skill.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon23.png	7	5	2				5	1	1	1									0	0	0	0
5	Essence Harvest	Increases <Icon=IconAttr02|45|45|0.5/>HP by 100 for every 25 <Icon=IconGood02|45|45|0.5/>Abyssal Secrets obtained.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon11.png	2	7	2	100			1	2	1	99	2	25		1					0	0	0	0
6	Rending Breath	Increase <Icon=IconAttr02|45|45|0.5/>HP by 65\nwhen swiping left in the Labyrinth.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon25.png	1	7	2	65			1	2	1	1	1	1		1					0	0	0	0
7	Radiant Awakening	Start with 1 <Icon=IconSun|45|45|0.5/>Dawnbreak Skill	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon23.png	7	5	6				5	1	1	1									0	0	0	0
8	Crimson Forge	Each time {0} <Icon=IconGood03|45|45|0.5/>Scarlet Visions are obtained, <Icon=IconAttr02|45|45|0.5/>HP +{1}	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon13.png	2	7	2	100			1	2	1	99	3	25		1	25	100			0	0	0	0
9	Quenched Edge	Each time a Relic is obtained, <Icon=IconAttr01|45|45|0.5/>ATK +{0}	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon23.png	10	7	1	3			1	2	1	1				1	3				0	0	0	0
53	Star Up	Gains 1 skill star-up chance.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon27.png	7	12	1	1			9	1	1	1									0	0	0	0
