Id	PoolId	BuffId	Weight	ConditionIds[1]	ConditionWeights[1]
1	1	1	10		
2	4	4	10		
3	7	7	10		
4	53	53	10		
5	2000	2000	10		
6	3000	3000	10		
7	3001	3001	10		
8	3500	3500	10		
9	3501	3501	10		
10	3501	3502	10		
11	3501	3503	10		
12	3501	3504	10		
13	3502	3505	10		
14	3502	3506	10		
15	3502	3507	10		
16	3502	3508	10		
17	3600	3600	10		
18	3601	3601	10		
19	3602	3602	10		
20	3603	3603	10		
21	4000	4000	10		
22	4001	4001	10		
23	10001	10001	10		
24	10002	10002	10		
25	10003	10003	10		
26	10004	10004	10		
