Id	Desc	Image	Quality	LeftDesc	LeftRewardTypes[1]	LeftRewardTypes[2]	LeftRewardTypes[3]	LeftRewardTypes[4]	LeftRewardTypeIds[1]	LeftRewardTypeIds[2]	LeftRewardTypeIds[3]	LeftRewardTypeIds[4]	LeftRewardMinNums[1]	LeftRewardMinNums[2]	LeftRewardMinNums[3]	LeftRewardMinNums[4]	LeftRewardMaxNums[1]	LeftRewardMaxNums[2]	LeftRewardMaxNums[3]	LeftRewardMaxNums[4]	RightDesc	RightRewardTypes[1]	RightRewardTypes[2]	RightRewardTypes[3]	RightRewardTypes[4]	RightRewardTypeIds[1]	RightRewardTypeIds[2]	RightRewardTypeIds[3]	RightRewardTypeIds[4]	RightRewardMinNums[1]	RightRewardMinNums[2]	RightRewardMinNums[3]	RightRewardMinNums[4]	RightRewardMaxNums[1]	RightRewardMaxNums[2]	RightRewardMaxNums[3]	RightRewardMaxNums[4]	ChooseLine	LineNum	IsOutNormalPool	NeedBuffs[1]	Bg
2	You carefully inspect the strange tattoos covering the corpse in the morgue. The sheriff beside you holds out the deceased's effects.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgRen01.png	1	Stare at the tattoos	2	1	1		1	1	3		-10	33	13		-5	37	17		Examine the effects	2	1	1		1	3	4		-13	13	33		-10	17	37						
4	Indescribable whispers drift through the air from the Mist blanketing the streets.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi13.png	1	Listen to the whispers	2	1	1		1	2	4		-13	13	33		-10	17	37		Cover your ears	2	1	1		1	3	4		0	33	13			37	17						
5	Strange patterns are carved into the altar. The same markings cover the parchments scattered across the floor.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi03.png	1	Close your eyes	2	1	1		1	2	3		0	13	33			17	37		Trace the patterns	2	1	1		1	2	4		-13	13	33		-10	17	37						
6	The ballroom of the noble manor stands empty. All that remains is a stain-covered guest register that has been sealed tight.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi02.png	1	Read the register	2	1	1		1	1	2		-13	33	13		-10	37	17		Break the remaining seals	2	1	1		1	1	4		-13	33	13		-10	37	17						
13	In the theater's dressing room, a strange sketch lies within the hidden compartment of a famous actress' makeup box.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi17.png	1	Speak with the actress	2	1	1		1	3	4		0	33	13			37	17		Examine the sketch	2	1	1		1	2	3		-13	13	33		-10	17	37						
14	The officer inventories the unmarked package with your help, but the documents inside are obscure and indecipherable.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgRen01.png	1	Register and move on	2	1	1		1	3	4		0	33	13			37	17		Scrutinize the documents	2	1	1		1	1	3		-13	13	33		-10	17	37						
15	Thick fog shrouds the dock. The remains of a large, oddly-shaped fish lie washed ashore by the waves.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi01.png	1	Consult your companion	2	1	1		1	3	4		20	13	33		40	17	37		Inspect the remains	2	1	1		1	1	3		-13	13	33		-10	17	37						
18	After the fire, only the archive's fireproof safe survives.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi13.png	1	Seal the safe	2	1	1		1	1	4		20	13	33		40	17	37		Open it and examine	2	1	1		1	3	4		-10	33	13		-5	37	17						
19	In an alley in the slums, the dark stains seeping from the walls seem to resemble some form of familiar writing.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi13.png	1	Try to discern	2	1	1		1	1	2		-13	13	33		-10	17	37		Wipe away the stains	2	1	1		1	2	3		20	13	33		40	17	37						
20	On a night when a storm rages, an eerie shadow repeatedly passes by outside the tall bedroom window.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi08.png	1	Close the curtains	2	1	1		1	2	3		20	13	33		40	17	37		Open the curtains and look	2	1	1		1	2	4		-13	33	13		-10	37	17						
23	A fortune teller grabs you at the street corner and keeps repeating a prophecy about the approaching Mist.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi13.png	1	Turn to leave	2	1	1		1	2	4		20	33	13		40	37	17		Listen intently	2	1	1		1	3	4		-13	13	33		-10	17	37						
24	In the window of an antique shop at the street corner, you quietly gaze at an amber ornament with patterns of retinal veins within.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi09.png	1	Look at the patterns	2	1	1		1	1	2		-13	13	33		-10	17	37		Close your eyes	2	1	1		1	2	4		0	33	13			37	17						
26	The lighthouse keeper on a remote island has mysteriously vanished, leaving behind a diary filled with writings on the fear of the deep sea.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi04.png	1	Seal the diary	2	1	1		1	1	3		20	33	13		40	37	17		Read the diary	2	1	1		1	3	4		-10	13	33		-5	17	37						
27	There is no cargo in the hold of a confiscated smuggling ship, except for several stone tablets carved with bizarre patterns.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi09.png	1	Trace the patterns on the tablets	2	1	1		1	2	3		-13	13	33		-10	17	37		Call for a priest to pray over this	2	1	1		1	1	2		20	13	33		40	17	37						
28	In a freshly developed crime scene photo, a blurry shadow vaguely appears behind the victim.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi10.png	1	Examine the shadow with a magnifying glass	2	1	1		1	2	3		-10	13	33		-5	17	37		Consult your companion	2	1	1		1	2	4		20	33	13		40	37	17						
29	A police officer patrolling the streets walked into an eerie mansion but never came out.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi03.png	1	Pick up his pistol	2	1	1		1	1	4		0	13	33			17	37		Examine from the entrance	2	1	1		1	2	4		-10	33	13		-5	37	17						
30	At an auction, the fog in an oil painting of a misty forest seems to be faintly shifting as everyone watches.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi11.png	1	Inspect the painting	2	1	1		1	2	4		-13	13	33		-10	17	37		Tear open the canvas	2	1	1		1	1	4		20	33	13		40	37	17						
31	A strange letter was delivered to your mailbox, instructing you to attend an appointment at a location that doesn't exist.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi16.png	1	Drink some hot tea to calm down	2	1	1		1	3	4		20	13	33		40	17	37		Attend as instructed	2	1	1		1	2	4		-13	33	13		-10	37	17						
33	A librarian walked into a library that had never been opened, locked himself in, and never came out.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi11.png	1	Examine the books in the library	2	1	1		1	1	4		-13	13	33		-10	17	37		Call for a priest to pray	2	1	1		1	1	2		20	13	33		40	17	37						
34	In the storage room of a post office, dark green liquid slowly seeps from an unclaimed package.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi11.png	1	File it as unclaimed property	2	1	1		1	1	2		0	33	13			37	17		Open the package	2	1	1		1	1	4		-13	33	13		-10	37	17						
35	On the sheets of an empty bed in a hospital ward, dark red bloodstains faintly seep through.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi02.png	1	Clean it thoroughly	2	1	1		1	3	4		0	13	33			17	37		Ignore it	2	1	1		1	2	4		-13	33	13		-10	37	17						
36	In the thick fog at the dead of night, a carriage stands before you, but there is not a soul inside.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi15.png	1	Turn to leave	2	1	1		1	2	4		20	33	13		40	37	17		Board and inspect the carriage	2	1	1		1	1	4		-13	33	13		-10	37	17						
37	Graves in the cemetery have been dug up in the dead of night, but the exposed coffins contain no bodies. Only viscous sludge remains.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi18.png	1	Examine the sludge	2	1	1		1	3	4		-13	13	33		-10	17	37		Investigate the coffin	2	1	1		1	2	4		-10	13	33		-5	17	37						
38	A hospital has received many insomnia patients. They all report dreaming of a faceless "deity."	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi10.png	1	File the patients' medical records	2	1	1		1	1	3		0	33	13			37	17		Ask the patients about the dream	2	1	1		1	3	4		-13	13	33		-10	17	37						
39	In the corner, a spider ceaselessly weaves its web, and the pattern woven into it appears to resemble some kind of strange writing.	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6RoomEitherorBgDi/UiTheatre6RoomEitherorBgDi13.png	1	Copy the "writing"	2	1	1		1	1	2		-13	13	33		-10	17	37		Investigate the spider	2	1	1		1	2	3		-10	33	13		-5	37	17						
