Id	EasyMonsterId	EasyRewardTypes[1]	EasyRewardTypes[2]	EasyRewardTypes[3]	EasyRewardIds[1]	EasyRewardIds[2]	EasyRewardIds[3]	DefeatGetTypes[1]	DefeatGetTypes[2]	DefeatGetValues[1]	DefeatGetValues[2]	HardMonsterId	HardRewardTypes[1]	HardRewardTypes[2]	HardRewardIds[1]	HardRewardIds[2]	EasyDescs[1]	HardDescs[1]	LevelId
100	100	5	3		600	15		6	3	-1	5								0
102	300	5	3		600	15		6	3	-1	5								0
110	101	5	3		601	20		6	3	-1	10								0
112	301	5	3		601	20		6	3	-1	10								0
120	102	5	3		601	25		6	3	-1	15								0
122	302	5	3		601	25		6	3	-1	15								0
200	120	5	3		600	15		6	3	-1	5								0
202	320	5	3		600	15		6	3	-1	5								0
210	121	5	3		601	20		6	3	-1	10								0
212	321	5	3		601	20		6	3	-1	10								0
220	122	5	3		601	25		6	3	-1	15								0
222	322	5	3		601	25		6	3	-1	15								0
300	130	5	3		600	15		6	3	-1	5								0
302	330	5	3		600	15		6	3	-1	5								0
310	131	5	3		601	20		6	3	-1	10								0
312	331	5	3		601	20		6	3	-1	10								0
320	132	5	3		601	25		6	3	-1	15								0
322	332	5	3		601	25		6	3	-1	15								0
400	140	5	3		600	15		6	3	-1	5								0
402	340	5	3		600	15		6	3	-1	5								0
410	141	5	3		601	20		6	3	-1	10								0
412	341	5	3		601	20		6	3	-1	10								0
420	142	5	3		601	25		6	3	-1	15								0
422	342	5	3		601	25		6	3	-1	15								0
500	150	5	3		600	15		6	3	-1	5								0
502	350	5	3		600	15		6	3	-1	5								0
510	151	5	3		601	20		6	3	-1	10								0
512	351	5	3		601	20		6	3	-1	10								0
520	152	5	3		601	25		6	3	-1	15								0
522	352	5	3		601	25		6	3	-1	15								0
1000	2003	5	3		602	30		6	5	-1	4	2006	5	3	602	40			0
1001	2003	5	3		602	30		6	5	-1	4	2006	5	3	602	40			0
1002	2003	5	3		602	30		6	5	-1	4	2006	5	3	602	40			0
1003	2003	5	3		602	30		6	5	-1	4	2006	5	3	602	40			0
1010	2004	5	3		602	40		6	5	-1	4	2007	5	3	602	50			0
1011	2004	5	3		602	40		6	5	-1	4	2007	5	3	602	50			0
1012	2004	5	3		602	40		6	5	-1	4	2007	5	3	602	50			0
1013	2004	5	3		602	40		6	5	-1	4	2007	5	3	602	50			0
1020	2005	5			21			6		-1		2008	5	5	21	21			0
1021	2005	5			21			6		-1		2008	5	5	21	21			0
1022	2005	5			21			6		-1		2008	5	5	21	21			0
1023	2005	5			21			6		-1		2008	5	5	21	21			0
1100	2023	5	3		602	30		6	5	-1	4	2026	5	3	602	40			0
1102	2023	5	3		602	30		6	5	-1	4	2026	5	3	602	40			0
1110	2024	5	3		602	40		6	5	-1	4	2027	5	3	602	50			0
1112	2024	5	3		602	40		6	5	-1	4	2027	5	3	602	50			0
1120	2025	5			21			6		-1		2028	5	5	21	21			0
1122	2025	5			21			6		-1		2028	5	5	21	21			0
1200	2033	5	3		602	30		6	5	-1	4	2036	5	3	602	40			0
1202	2033	5	3		602	30		6	5	-1	4	2036	5	3	602	40			0
1210	2034	5	3		602	40		6	5	-1	4	2037	5	3	602	50			0
1212	2034	5	3		602	40		6	5	-1	4	2037	5	3	602	50			0
1220	2035	5			21			6		-1		2038	5	5	21	21			0
1222	2035	5			21			6		-1		2038	5	5	21	21			0
1300	2043	5	3		602	30		6	5	-1	4	2046	5	3	602	40			0
1302	2043	5	3		602	30		6	5	-1	4	2046	5	3	602	40			0
1310	2044	5	3		602	40		6	5	-1	4	2047	5	3	602	50			0
1312	2044	5	3		602	40		6	5	-1	4	2047	5	3	602	50			0
1320	2045	5			21			6		-1		2048	5	5	21	21			0
1322	2045	5			21			6		-1		2048	5	5	21	21			0
1330	2049	5			21			6		-1		2051	5	5	21	21			0
1332	2049	5			21			6		-1		2051	5	5	21	21			0
1340	2050	5			21			6		-1		2052	5	5	21	21			0
1342	2050	5			21			6		-1		2052	5	5	21	21			0
1400	2070	5	3		602	30		6	5	-1	4	2076	5	3	602	40			0
1410	2071	5	3		602	40		6	5	-1	4	2077	5	3	602	50			0
1420	2072	5	3		21	40		6		-1		2078	5	3	21	50			0
1430	2073	5			21			6		-1		2079	5	5	21	21			0
1440	2074	5			21			6		-1		2080	5	5	21	21			0
1450	2075	5			21			6		-1		2081	5	5	21	21			0
2000	100	5	3	4	600	10	4000	4		4001									0
2002	300	5	3	4	600	10	4000	4		4001									0
2010	101	5	3	4	601	25	4000	4		4001									0
2012	301	5	3	4	601	25	4000	4		4001									0
2020	102	5	3	4	601	35	4000	4		4001									0
2022	302	5	3	4	601	35	4000	4		4001									0
2100	120	5	3	4	600	10	4000	4		4001									0
2102	320	5	3	4	600	10	4000	4		4001									0
2110	121	5	3	4	601	25	4000	4		4001									0
2112	321	5	3	4	601	25	4000	4		4001									0
2120	122	5	3	4	601	35	4000	4		4001									0
2122	322	5	3	4	601	35	4000	4		4001									0
2200	130	5	3	4	600	10	4000	4		4001									0
2202	330	5	3	4	600	10	4000	4		4001									0
2210	131	5	3	4	601	25	4000	4		4001									0
2212	331	5	3	4	601	25	4000	4		4001									0
2220	132	5	3	4	601	35	4000	4		4001									0
2222	332	5	3	4	601	35	4000	4		4001									0
2300	140	5	3	4	600	10	4000	4		4001									0
2302	340	5	3	4	600	10	4000	4		4001									0
2310	141	5	3	4	601	25	4000	4		4001									0
2312	341	5	3	4	601	25	4000	4		4001									0
2320	142	5	3	4	601	35	4000	4		4001									0
2322	342	5	3	4	601	35	4000	4		4001									0
2400	150	5	3	4	600	10	4000	4		4001									0
2402	350	5	3	4	600	10	4000	4		4001									0
2410	151	5	3	4	601	25	4000	4		4001									0
2412	351	5	3	4	601	25	4000	4		4001									0
2420	152	5	3	4	601	35	4000	4		4001									0
2422	352	5	3	4	601	35	4000	4		4001									0
9990	2053	5	3	4	600	10	4000	4		4001									0
9991	2053	5	3	4	600	10	4000	4		4001									0
9992	2053	5	3	4	600	10	4000	4		4001									0
9993	2053	5	3	4	600	10	4000	4		4001									0
9994	2053	5	3	4	600	10	4000	4		4001									0
9995	2053	5	3	4	600	10	4000	4		4001									0
9996	2053	5	3	4	600	10	4000	4		4001									0
9997	2053	5	3	4	600	10	4000	4		4001									0
9998	2053	5	3	4	600	10	4000	4		4001									0
9999	500	5			21			6		-1		501	5	5	21	21			0
10000	2053	5	3		602	40		6	5	-1	4								0
10010	2058	5			21			6		-1		2059	5	5	21	21			0
10100	2058	5			21			6		-1		2059	5	5	21	21			0
10200	2053	5	3		602	40		6	5	-1	4	2059	5	3	602	50			0
10210	2058	5			21			6		-1		2059	5	5	21	21			0
10300	2053	5	3		602	40		6	5	-1	4	2059	5	3	602	50			0
10310	2058	5			21			6		-1		2059	5	5	21	21			0
10400	1000	5	3		602	40		6	5	-1	4								0
10410	2058	5			21			6		-1									0
10500	2053	5	3		602	40		6	5	-1	4								0
10510	2058	5			21			6		-1									0
10600	2053	5	3		602	40		6	5	-1	4								0
10610	2057	5			21			6		-1		2057	5	5	21	21			0
10700	2060	5			21			6		-1									0
10800	2053	5	3		602	40		6	5	-1	4								0
10810	2058	5			21			6		-1		2059	5	5	21	21			0
10900	2053	5	3		602	40		6	5	-1	4	2059	5	3	602	50			0
10910	2058	5	3		602	40		6	5	-1	4	2059	5	3	602	50			0
10920	2054	5			21			6		-1		2055	5	5	21	21			0
11000	2053	5	3		602	40		6	5	-1	4	2059	5	3	602	50			0
11010	2058	5			21			6		-1		2059	5	5	21	21			0
11100	2053	5	3		602	40		6	5	-1	4	2059	5	3	602	50			0
11110	2058	5			21			6		-1		2059	5	5	21	21			0
