Id	FightIds[1]	FightIds[2]	Weights[1]	Weights[2]	BuildTagWeights[1]	MaxTagWeights[1]
1	10000		10			
2	10010		10			
3	10100		10			
4	10200		10			
5	10210		10			
6	10300		10			
7	10310		10			
8	9999		10			
10	10400		10			
11	10410		10			
20	10500		10			
21	10510		10			
30	10600		10			
31	10610		10			
40	10700		10			
41	10800		10			
42	10810		10			
43	10900		10			
44	10910		10			
45	10920		10			
46	11000		10			
47	11010		10			
48	11100		10			
49	11110		10			
100	100	102	10	10		
110	110	112	10	10		
120	120	122	10	10		
200	200	202	10	10		
210	210	212	10	10		
220	220	222	10	10		
300	300	302	10	10		
310	310	312	10	10		
320	320	322	10	10		
400	400	402	10	10		
410	410	412	10	10		
420	420	422	10	10		
500	500	502	10	10		
510	510	512	10	10		
520	520	522	10	10		
1000	1000		10			
1010	1010		10			
1020	1020		10			
1100	1100		10			
1110	1110		10			
1120	1120		10			
1200	1200		10			
1210	1210		10			
1220	1220		10			
1300	1300		10			
1310	1310		10			
1320	1320		10			
1330	1330		10			
1340	1340		10			
1400	1400		10			
1410	1410		10			
1420	1420		10			
1430	1430		10			
1440	1440		10			
1450	1450		10			
2000	2000	2002	10	10		
2010	2010	2012	10	10		
2020	2020	2022	10	10		
2100	2100	2102	10	10		
2110	2110	2112	10	10		
2120	2120	2122	10	10		
2200	2200	2202	10	10		
2210	2210	2212	10	10		
2220	2220	2222	10	10		
2300	2300	2302	10	10		
2310	2310	2312	10	10		
2320	2320	2322	10	10		
2400	2400	2402	10	10		
2410	2410	2412	10	10		
2420	2420	2422	10	10		
3001	9998		10			
3002	9997		10			
3003	9996		10			
3004	9995		10			
3005	9994		10			
3006	9993		10			
3007	9992		10			
3008	9991		10			
3009	9990		10			
