Id	SanGroupId	BuffIds[1]	BuffIds[2]	BuffIds[3]	BuffTypes[1]	BuffTypes[2]	BuffTypes[3]	SanType	Color	CueId	MinSan	MaxSan	LineColor	LineOffset	SanTitleDes	SanTitleBg
1	1	1006	1007	1012	2	2	2	4	CF2939	7168						
2	1	1004	1012		2	2		2	CF2939	7168	1	20				
3	1	1003	1011		2	2		2	FFD342	7167	21	40	BC181C	-21		
4	1	1002	1011		2	2		2	FFD342	7167	41	60	E0AC58	-21		
5	1	1001	1011		2	2		2	FFD342	7167	61	80	E0AC58	-24		
6	1	1008	1010		2	2		1	3CE7B2	7167	81	100	04A453	-28		
7	2	1006	1007	1012	2	2	2	4	CF2939	7168						
8	2	1002	1012		2	2		2	CF2939	7168	1	20				
9	2	1001	1011		2	2		2	FFD342	7167	21	40	BC181C	-22		
10	2	1008	1010		2	2		1	3CE7B2	7167	41	100	E0AC58	-24		
