Id	RewardPools[1]	RewardPools[2]	RewardPools[3]	RewardPools[4]	RewardPools[5]	RefreshTime	BaseRereshPrice	RefreshAddPrice	BuySanNum	BuySanBasePrice	BuySanAddPrice	BuySanMaxTimes	RewardTypes[1]
1	1	1	2	3	4	10	10	5	15	5	5	3	
2	1	1	2	3	4	10	10	5	15	5	5	3	
10	201	201	201	202	202	2	1	2	15	5	5	3	
11	211	211	211	212	212	2	1	2	15	5	5	3	
12	221	221	221	222	222	2	1	2	15	5	5	3	
13	231	231	231	232	232	2	1	2	15	5	5	3	
14	241	241	241	242	242	2	1	2	15	5	5	3	
15	251	310	251	252	252	2	1	2	15	5	5	3	
17	261	261	261	262	262	3	1	2	15	5	5	3	
18	273	271	271	272	500	3	1	2	15	5	5	3	
19	283	310	281	282	500	3	1	2	15	5	5	3	
20	291	291	291	292	292	4	1	2	15	5	5	3	
21	297	293	293	294	500	4	1	2	15	5	5	3	
22	298	310	295	296	500	4	1	2	15	5	5	3	
23	700	700	700	701	701	5	1	2	15	5	5	3	
24	706	702	702	703	501	5	1	2	15	5	5	3	
25	707	310	704	705	501	5	1	2	15	5	5	3	
100	18	19	20	103	103	4	1	2	15	5	5	3	
101	18	19	20	103	103	4	1	2	15	5	5	3	
102	18	19	20	103	103	4	1	2	15	5	5	3	
110	18	19	20	103	103	4	1	2	15	5	5	3	
120	18	19	20	103	103	4	1	2	15	5	5	3	
121	18	19	20	103	103	4	1	2	15	5	5	3	
130	18	19	20	103	103	4	1	2	15	5	5	3	
131	18	19	20	103	103	4	1	2	15	5	5	3	
140	18	19	20	103	103	4	1	2	15	5	5	3	
150	18	19	20	103	103	4	1	2	15	5	5	3	
151	18	19	20	103	103	4	1	2	15	5	5	3	
160	18	19	20	103	103	4	1	2	15	5	5	3	
170	18	19	20	103	103	4	1	2	15	5	5	3	
200	401	201	201	202	202	2	1	2	15	5	5	3	
210	18	19	20	103	103	4	1	2	15	5	5	3	
