Id	Name	Quality	GoodsNums[1]	GoodsNums[2]	AppointGoodsTypes[1]	AppointGoodsTypes[2]	RewardTypes[1]	RewardTypes[2]	RewardIds[1]	RewardIds[2]	IsOutPool	Desc	ConditionId	CharacterId
1	Cursed Shrine	1	60	60	1	2	3		20				0	0
2	Otherworldly Dream	1	60	60	1	3	3		20				0	0
3	Forest Trail	1	60	60	1	4	3		20				0	0
4	Sleep Talk in Silence	1	60	60	2	3	3		20				0	0
5	Midnight Horror	1	60	60	2	4	3		20				0	0
6	Wandering Shadow	1	60	60	3	4	3		20				0	0
7	Disordered Ritual	2	60	60	1	2	3		30				0	0
8	Midnight Horror	2	60	60	1	3	3		30				0	0
9	Cursed Shrine	2	60	60	1	4	3		30				0	0
10	Night of Fading Bells	2	60	60	2	3	3		30				0	0
11	Old Manor Ruins	2	60	60	2	4	3		30				0	0
12	Corrupted Ink	2	60	60	3	4	3		30				0	0
13	Tarnished Memories	3	60	60	1	2	3		40				0	0
14	Photophage Shadow	3	60	60	1	3	3		40				0	0
15	Slumbering Manor	3	60	60	1	4	3		40				0	0
16	Cursed Shrine	3	60	60	2	3	3		40				0	0
17	Pale Dusk Shadow	3	60	60	2	4	3		40				0	0
18	Night of Fading Bells	3	60	60	3	4	3		40				0	0
19	Fading Ashes	1	120		1		3		20				0	0
20	Broken Oracle	1	120		2		3		20				0	0
21	Broken Sarcophagus	1	120		3		3		20				0	0
22	Disordered Ritual	1	120		4		3		20				0	0
23	Elusive Trail	2	120		1		3		30				0	0
24	Broken Sarcophagus	2	120		2		3		30				0	0
25	Wandering Shadow	2	120		3		3		30				0	0
26	Underground Sounds	2	120		4		3		30				0	0
27	Elusive Trail	3	120		1		3		40				0	0
28	Disordered Ritual	3	120		2		3		40				0	0
29	Wandering Shadow	3	120		3		3		40				0	0
30	Hidden Whispers	3	120		4		3		40				0	0
31	Nameless Invitation	1	60	60	1	2	3	5	15	301			0	0
32	Nightmare Weaver	1	60	60	1	3	3	5	15	301			0	0
33	Slumbering Manor	1	60	60	1	4	3	5	15	301			0	0
101	Rampant Vines	1	60	60	2	3	3	5	15	301			0	0
102	Slumbering Shadow	1	60	60	2	4	3	5	15	301			0	0
103	Underground Sounds	1	60	60	3	4	3	5	15	301			0	0
104	Nightmare Weaver	2	60	60	1	2	3	5	20	302			0	0
105	Sleep Talk in Silence	2	60	60	1	3	3	5	20	302			0	0
106	Slumbering Shadow	2	60	60	1	4	3	5	20	302			0	0
107	Feast of the Faceless	2	60	60	2	3	3	5	20	302			0	0
108	Eve of Mutation	2	60	60	2	4	3	5	20	302			0	0
109	Creeping Shadow	2	60	60	3	4	3	5	20	302			0	0
110	Abandoned Shrine	3	60	60	1	2	3	5	20	303			0	0
111	Shattered Sheet Music	3	60	60	1	3	3	5	20	303			0	0
112	Broken Sarcophagus	3	60	60	1	4	3	5	20	303			0	0
113	Sleep Talk in Silence	3	60	60	2	3	3	5	20	303			0	0
114	Creeping Shadow	3	60	60	2	4	3	5	20	303			0	0
115	Crimson Horror	3	60	60	3	4	3	5	20	303			0	0
116	Hidden Whispers	1	120		1		3	5	15	301			0	0
117	Phantom Trail	1	120		2		3	5	15	301			0	0
118	Forsaken Beacon	1	120		3		3	5	15	301			0	0
119	Photophage Shadow	1	120		4		3	5	15	301			0	0
120	Tarnished Memories	2	120		1		3	5	20	302			0	0
121	Rampant Vines	2	120		2		3	5	20	302			0	0
122	Broken Oracle	2	120		3		3	5	20	302			0	0
123	Crimson Horror	2	120		4		3	5	20	302			0	0
124	Midnight Horror	3	120		1		3	5	20	303			0	0
125	Phantom Trail	3	120		2		3	5	20	303			0	0
126	Forest Trail	3	120		3		3	5	20	303			0	0
127	Nameless Invitation	3	120		4		3	5	20	303			0	0
1001	Phantom in Fog	1	60	60	1	2	3		20		1		0	0
1002	Dark Alley Whispers	1	60	60	1	3	3		20		1		0	0
1003	Stranger in the Cold	1	60	60	2	3	3		20		1		0	0
1100	Lone Tower in the Mist	1	60	60	1	2	3		20		1		0	0
1101	Abyssal Glance	1	60	60	1	3	3		20		1		0	0
1102	Evernight Pilgrimage	1	60	60	2	3	3		20		1		0	0
1109	Murmurs of the Dead	2	60	60	1	4	3		30		1		0	0
1110	Edge of Nightmare	2	60	60	2	4	3		30		1		0	0
1111	Silent Echo	2	60	60	3	4	3		30		1		0	0
1200	Rat Tracks	1	60	60	1	2	3		20		1		0	0
1201	Shape in the Dark	1	60	60	1	3	3		20		1		0	0
1202	Devouring Flame	1	60	60	2	3	3		20		1		0	0
1300	Mistbound Nightmare	1	60	60	1	2	3		20		1		0	0
1301	Horror in Torn Pages	1	60	60	1	3	3		20		1		0	0
1302	Alley Whispers	1	60	60	2	3	3		20		1		0	0
1303	Berserk Projection	2	60	60	1	4	3		30		1		0	0
1304	Silent Stranger	2	60	60	2	4	3		30		1		0	0
1305	Forbidden Contract	2	60	60	3	4	3		30		1		0	0
1400	Old Shadows at Dusk	1	60	60	1	2	3		20		1		0	0
1401	Whispered Secrets	1	60	60	1	3	3		20		1		0	0
1402	Forsaken Manor	1	60	60	2	3	3		20		1		0	0
1406	Road of No Return	2	60	60	1	4	3		30		1		0	0
1407	Ritual Tome	2	60	60	2	4	3		30		1		0	0
1408	Ashen Eclipse	2	60	60	3	4	3		30		1		0	0
1500	Figure in the Mirror	1	60	60	1	2	3		20		1		0	0
1501	Croaking Ravens	1	60	60	1	3	3		20		1		0	0
1502	Endless Corridor	1	60	60	2	3	3		20		1		0	0
1506	Clock Running Backward	2	60	60	1	4	3		30		1		0	0
1507	Underground Passage	2	60	60	2	4	3		30		1		0	0
1508	Unsealed Coffin	2	60	60	3	4	3		30		1		0	0
1600	Resonant Strings	1	60	60	1	2	3		20		1		0	0
1601	Spreading Shadow	1	60	60	1	3	3		20		1		0	0
1602	Faceless Guest	1	60	60	2	3	3		20		1		0	0
1606	Smiling Porcelain Doll	2	60	60	1	4	3		30		1		0	0
1607	Rotting Moss	2	60	60	2	4	3		30		1		0	0
1608	Eyeless Gaze	2	60	60	3	4	3		30		1		0	0
1700	Grimed Mirror	1	60	60	1	2	3		20		1		0	0
1701	Eerie Emblem	1	60	60	1	3	3		20		1		0	0
1702	Whispers in the Pavilion	1	60	60	2	3	3		20		1		0	0
1706	Forked Path	2	60	60	1	4	3		30		1		0	0
1707	Twilight Prophet	2	60	60	2	4	3		30		1		0	0
1708	Deep in the Cemetery	2	60	60	3	4	3		30		1		0	0
1800	Fading Beacon	1	60	60	1	2	3		20		1		0	0
1801	Edge of Sanity	1	60	60	1	3	3		20		1		0	0
1802	Tarnished Crown	1	60	60	2	3	3		20		1		0	0
1809	Code on the Fireplace	2	60	60	1	4	3		30		1		0	0
1810	Past on Withered Pages	2	60	60	2	4	3		30		1		0	0
1811	Collapsing Sequence	2	60	60	3	4	3		30		1		0	0
